,theorem_id,throrem_titles,theorem_contents,theorem_refs,ref_ids,retrieved_3,retrieved_5,retrieved_10,retrieved_50,P@3,P@5,P@10,P@50,R@3,R@5,R@10,R@50,RR,self_retrieve
10602,15893,Summation over k to n of Natural Logarithm of k,:$\ds \sum_{k \mathop = 1}^n \ln k = \map \ln {n!}$where $n!$ denotes the $n$th [[Definition:Factorial|factorial]].,['Definition:Factorial'],[20058],"[32908, 20058, 32624]","[32908, 20058, 32624, 32625, 28364]","[32908, 20058, 32624, 32625, 28364, 26901, 26906, 32723, 32716, 28287]","[32908, 20058, 32624, 32625, 28364, 26901, 26906, 32723, 32716, 28287, 32683, 26905, 25638, 32715, 32457, 26902, 32717, 33154, 32297, 32718, 32719, 25464, 32714, 32720, 32721, 25004, 32722, 20696, 26936, 33057, 32984, 28033, 32727, 32725, 26934, 20545, 32726, 29345, 24994, 32724, 32728, 23923, 32584, 32898, 26931, 32759, 25089, 33055, 26795, 32689]",0.3333333333333333,0.2,0.1,0.02,1.0,1.0,1.0,1.0,0.5,False
10603,15894,Difference between Summation of Natural Logarithms and Summation of Harmonic Numbers,:$\displaystyle \sum_{k \mathop = 1}^n H_k - \sum_{k \mathop = 1}^n \map \ln {n!} \approx \gamma n + \dfrac {\ln n} 2 + 0 \cdotp 158$where::$H_k$ denotes the $k$th [[Definition:Harmonic Number|harmonic number]]:$n!$ denotes the $n$th [[Definition:Factorial|factorial]]:$\gamma$ denotes the [[Definition:Euler-Mascheroni Constant|Euler-Mascheroni constant]].,"['Definition:Harmonic Numbers', 'Definition:Factorial', 'Definition:Euler-Mascheroni Constant']","[21005, 20058, 20320]","[20320, 26439, 24835]","[20320, 26439, 24835, 25107, 25636]","[20320, 26439, 24835, 25107, 25636, 32906, 32908, 32905, 31175, 23020]","[20320, 26439, 24835, 25107, 25636, 32906, 32908, 32905, 31175, 23020, 20058, 29486, 23956, 25129, 32624, 27950, 24998, 29463, 31176, 30717, 30665, 21005, 28033, 32625, 29273, 27270, 25106, 25183, 28287, 27454, 26859, 20425, 23923, 23922, 20505, 29462, 25108, 28364, 30715, 20235, 24660, 27241, 30709, 23637, 26902, 20231, 26901, 27779, 24662, 19856]",0.3333333333333333,0.2,0.1,0.06,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,False
10604,15895,Sum over k of n Choose k by x to the k by kth Harmonic Number/x = -1,While for $x \in \R_{> 0}$ be a [[Definition:Real Number|real number]]::$\displaystyle \sum_{k \mathop \in \Z} \binom n k x^k H_k = \left({x + 1}\right)^n \left({H_n - \ln \left({1 + \frac 1 x}\right)}\right) + \epsilon$when $x = -1$ we have::$\displaystyle \sum_{k \mathop \in \Z} \binom n k x^k H_k = \dfrac {-1} n$where:: $\dbinom n k$ denotes a [[Definition:Binomial Coefficient|binomial coefficient]]: $H_k$ denotes the $k$th [[Definition:Harmonic Number|harmonic number]].,"['Definition:Real Number', 'Definition:Binomial Coefficient', 'Definition:Harmonic Numbers']","[20077, 20059, 21005]","[25636, 23020, 32909]","[25636, 23020, 32909, 30726, 23956]","[25636, 23020, 32909, 30726, 23956, 28151, 26539, 25467, 20059, 21005]","[25636, 23020, 32909, 30726, 23956, 28151, 26539, 25467, 20059, 21005, 26919, 26536, 32906, 22623, 27383, 25464, 25466, 32905, 24368, 26540, 28149, 27950, 32456, 20408, 32561, 25380, 24139, 24137, 32631, 25248, 24136, 20320, 31175, 32263, 24141, 20077, 29333, 26531, 24142, 20231, 26533, 24140, 25347, 28513, 32442, 23387, 27384, 20449, 32425, 32257]",0.0,0.0,0.2,0.06,0.0,0.0,0.6666666666666666,1.0,0.1111111111111111,False
10605,15899,Summation to n of Reciprocal of k by k-1 of Harmonic Number,:$\displaystyle \sum_{1 \mathop < k \mathop \le n} \dfrac 1 {k \paren {k - 1} } H_k = 2 - \dfrac {H_n} n - \dfrac 1 n$where $H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]].,['Definition:Harmonic Numbers'],[21005],"[21005, 23956, 27950]","[21005, 23956, 27950, 32906, 31175]","[21005, 23956, 27950, 32906, 31175, 32905, 20320, 29463, 23020, 31176]","[21005, 23956, 27950, 32906, 31175, 32905, 20320, 29463, 23020, 31176, 25636, 20231, 29883, 32374, 26873, 20945, 28151, 24660, 25635, 27198, 26543, 26326, 28953, 32939, 33038, 30425, 29482, 32876, 26328, 32877, 27956, 24291, 28150, 28208, 26538, 32937, 32657, 26327, 30446, 30814, 26507, 26539, 27954, 32470, 26325, 20522, 33065, 32646, 24662, 26540]",0.3333333333333333,0.2,0.1,0.02,1.0,1.0,1.0,1.0,1.0,False
10606,15900,Riemann Zeta Function of 1000,To at least $100$ [[Definition:Decimal Place|decimal places]]::$\zeta \left({1000}\right) \approx 1$where $\zeta$ denotes the [[Definition:Riemann Zeta Function|Riemann zeta function]].,"['Definition:Decimal Expansion/Decimal Place', 'Definition:Riemann Zeta Function']","[30843, 20432]","[28772, 26642, 29359]","[28772, 26642, 29359, 30696, 20432]","[28772, 26642, 29359, 30696, 20432, 30697, 21489, 32672, 28113, 29368]","[28772, 26642, 29359, 30696, 20432, 30697, 21489, 32672, 28113, 29368, 26643, 30695, 29462, 30842, 32241, 22035, 30843, 27363, 26478, 31989, 26620, 26629, 26628, 26627, 24834, 26622, 26623, 30451, 26626, 26625, 26624, 29768, 29534, 24832, 26831, 20499, 26821, 26621, 32616, 26610, 26639, 23393, 30714, 24835, 30778, 29795, 31460, 20210, 28495, 23925]",0.0,0.2,0.1,0.04,0.0,0.5,0.5,1.0,0.2,False
10607,15903,Summation to n of kth Harmonic Number over k,:$\displaystyle \sum_{k \mathop = 1}^n \dfrac {H_k} k = \dfrac { {H_n}^2 + H_n^{\paren 2} } 2$where::$H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]]:$H_n^{\paren 2}$ denotes a [[Definition:General Harmonic Numbers|general harmonic number]].,"['Definition:Harmonic Numbers', 'Definition:Harmonic Numbers/General Definition']","[21005, 23956]","[21005, 23956, 32906]","[21005, 23956, 32906, 31175, 32905]","[21005, 23956, 32906, 31175, 32905, 29463, 31176, 20320, 20231, 27950]","[21005, 23956, 32906, 31175, 32905, 29463, 31176, 20320, 20231, 27950, 26326, 28953, 29883, 30425, 23020, 22622, 24660, 27956, 28150, 28208, 26538, 28151, 26325, 25636, 27954, 27955, 25635, 26540, 28149, 26328, 26327, 29884, 28954, 31213, 27952, 26539, 26543, 27990, 26507, 27951, 32939, 30423, 32374, 33065, 32426, 20551, 32937, 32691, 33038, 33067]",0.6666666666666666,0.4,0.2,0.04,1.0,1.0,1.0,1.0,1.0,False
10608,15904,Summation to n of kth Harmonic Number over k+1,:$\displaystyle \sum_{k \mathop = 1}^n \dfrac {H_k} {k + 1} = \dfrac { {H_{n + 1} }^2 - H_{n + 1}^{\left({2}\right)} } 2$where::$H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]]:$H_n^{\left({2}\right)}$ denotes a [[Definition:General Harmonic Numbers|general harmonic number]].,"['Definition:Harmonic Numbers', 'Definition:Harmonic Numbers/General Definition']","[21005, 23956]","[23956, 32906, 31175]","[23956, 32906, 31175, 32905, 21005]","[23956, 32906, 31175, 32905, 21005, 29463, 31176, 27950, 20231, 26538]","[23956, 32906, 31175, 32905, 21005, 29463, 31176, 27950, 20231, 26538, 27956, 26326, 30425, 28151, 20320, 28150, 24660, 26539, 26540, 28208, 28149, 28953, 26325, 27954, 23020, 27955, 33118, 26328, 26327, 26536, 31476, 25636, 27952, 32257, 27383, 29883, 26533, 26507, 27384, 27951, 22622, 20354, 31469, 31470, 25347, 25380, 20521, 32425, 30423, 31471]",0.3333333333333333,0.4,0.2,0.04,0.5,1.0,1.0,1.0,1.0,False
10609,15905,Principle of Recursive Definition for Well-Ordered Sets,Let $J$ be a [[Definition:Well-Ordered Set|well-ordered set]].Let $C$ be any [[Definition:Set|set]].Let $\mathcal F$ be the set of all [[Definition:Function|functions]] that map [[Definition:Initial Segment|initial segments]] $S_a$ of $J$ into $C$.Then for any function of the form::$\rho: \mathcal F \to C$there exists a [[Definition:Unique|unique]] function::$h: J \to C$satisfying::$\forall \alpha \in J: h\left({\alpha}\right) = \rho\left({ h {\restriction_{S_\alpha}} }\right)$where ${\restriction}$ denotes the [[Definition:Restriction of Mapping|restriction of a mapping]].,"['Definition:Well-Ordered Set', 'Definition:Set', 'Definition:Function', 'Definition:Initial Segment', 'Definition:Unique', 'Definition:Restriction/Mapping']","[19938, 19734, 19757, 22294, 22116, 22106]","[32915, 32914, 25211]","[32915, 32914, 25211, 29516, 22294]","[32915, 32914, 25211, 29516, 22294, 19830, 22106, 23885, 27043, 23948]","[32915, 32914, 25211, 29516, 22294, 19830, 22106, 23885, 27043, 23948, 19903, 22530, 32916, 29031, 19902, 27703, 25739, 22201, 25575, 29498, 25584, 23677, 22593, 20710, 22103, 25626, 22188, 27440, 21036, 30673, 19901, 20474, 21713, 21775, 19904, 28726, 29408, 29405, 21778, 27531, 22347, 26815, 31021, 29420, 29055, 27525, 26894, 27518, 22685, 26930]",0.0,0.2,0.2,0.04,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.2,False
10610,15906,Angles with Parallel or Perpendicular Arms are Equal or Supplementary,Let $A$ and $B$ be [[Definition:Plane Angle|angles]] such that their corresponding arms are either [[Definition:Parallel Lines|parallel]] or [[Definition:Perpendicular|perpendicular]].Then $A$ and $B$ are either [[Definition:Equality|equal]] or [[Definition:Supplementary Angles|supplementary]].,"['Definition:Angle', 'Definition:Parallel (Geometry)/Lines', 'Definition:Right Angle/Perpendicular', 'Definition:Equals', 'Definition:Supplementary Angles']","[20152, 24190, 24250, 19758, 20574]","[31901, 25498, 30259]","[31901, 25498, 30259, 21824, 20174]","[31901, 25498, 30259, 21824, 20174, 24190, 21914, 21913, 32913, 24191]","[31901, 25498, 30259, 21824, 20174, 24190, 21914, 21913, 32913, 24191, 24249, 21810, 25209, 32090, 31500, 20574, 24196, 21313, 31902, 25497, 25214, 21918, 20900, 30724, 30607, 24250, 21837, 22234, 32587, 19743, 25213, 21868, 29909, 24051, 21921, 25208, 25503, 26389, 22482, 25308, 26386, 31963, 21958, 32225, 27778, 21916, 32193, 30530, 24061, 25528]",0.0,0.0,0.1,0.06,0.0,0.0,0.2,0.6,0.16666666666666666,False
10611,15907,Sum of External Angles of Polygon equals Four Right Angles,Let the [[Definition:External Angle|external angles]] of a [[Definition:Polygon|polygon]] be generated in the same direction going around the [[Definition:Polygon|polygon]].Then the sum of all these [[Definition:External Angle|external angles]] equals $4$ [[Definition:Right Angle|right angles]].,"['Definition:Polygon/External Angle', 'Definition:Polygon', 'Definition:Polygon', 'Definition:Polygon/External Angle', 'Definition:Right Angle']","[24077, 20256, 20256, 24077, 20153]","[24077, 24080, 24076]","[24077, 24080, 24076, 25263, 25208]","[24077, 24080, 24076, 25263, 25208, 24081, 25260, 24073, 24079, 29917]","[24077, 24080, 24076, 25263, 25208, 24081, 25260, 24073, 24079, 29917, 30942, 24072, 25261, 25258, 25207, 20405, 21839, 24058, 20900, 24082, 27834, 30259, 20575, 24078, 24051, 24075, 20153, 32587, 20574, 27835, 24061, 26081, 30939, 32913, 21838, 20156, 20257, 26080, 24098, 30940, 20157, 25634, 24059, 25319, 26082, 26083, 26084, 27653, 26085, 26088]",0.3333333333333333,0.2,0.1,0.04,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,False
10612,15908,Bisector of Apex of Isosceles Triangle also Bisects Base,Let $\triangle ABC$ be an [[Definition:Isosceles Triangle|isosceles triangle]] whose [[Definition:Apex of Isosceles Triangle|apex]] is $A$.Let $AD$ be the [[Definition:Bisection|bisector]] of $\angle BAC$ such that $AD$ [[Definition:Intersection (Geometry)|intersects]] $BC$ at $D$.Then $AD$ [[Definition:Bisection|bisects]] $BC$.,"['Definition:Triangle (Geometry)/Isosceles', 'Definition:Triangle (Geometry)/Isosceles/Apex', 'Definition:Bisection', 'Definition:Intersection (Geometry)', 'Definition:Bisection']","[20889, 24091, 20259, 21103, 20259]","[24091, 24092, 24089]","[24091, 24092, 24089, 29506, 20889]","[24091, 24092, 24089, 29506, 20889, 24090, 30375, 25523, 20912, 24096]","[24091, 24092, 24089, 29506, 20889, 24090, 30375, 25523, 20912, 24096, 27684, 27278, 20435, 21822, 30557, 33146, 30376, 24097, 25653, 33021, 30551, 29511, 30554, 30552, 30555, 27446, 20891, 27279, 33145, 27277, 31649, 32587, 27326, 24176, 31125, 20255, 24170, 30556, 24175, 24172, 20251, 20434, 20253, 24100, 20254, 20252, 30374, 21823, 24103, 24171]",0.3333333333333333,0.4,0.2,0.04,0.25,0.5,0.5,0.5,1.0,False
10613,15909,Bisector of Apex of Isosceles Triangle is Perpendicular to Base,Let $\triangle ABC$ be an [[Definition:Isosceles Triangle|isosceles triangle]] whose [[Definition:Apex of Isosceles Triangle|apex]] is $A$.Let $AD$ be the [[Definition:Bisection|bisector]] of $\angle BAC$ such that $AD$ [[Definition:Intersection (Geometry)|intersects]] $BC$ at $D$.Then $AD$ is [[Definition:Perpendicular|perpendicular]] to $BC$.,"['Definition:Triangle (Geometry)/Isosceles', 'Definition:Triangle (Geometry)/Isosceles/Apex', 'Definition:Bisection', 'Definition:Intersection (Geometry)', 'Definition:Right Angle/Perpendicular']","[20889, 24091, 20259, 21103, 24250]","[24091, 24092, 24089]","[24091, 24092, 24089, 29506, 20889]","[24091, 24092, 24089, 29506, 20889, 24090, 30375, 25523, 24096, 20912]","[24091, 24092, 24089, 29506, 20889, 24090, 30375, 25523, 24096, 20912, 27684, 24097, 27278, 30376, 21822, 30557, 33146, 25653, 33021, 30551, 29511, 30554, 30552, 20255, 30555, 27446, 20435, 20891, 27279, 33145, 27277, 31649, 27326, 24176, 32587, 31125, 24170, 30556, 24175, 20251, 20434, 24172, 20253, 24100, 20254, 20252, 30374, 24103, 21823, 24171]",0.3333333333333333,0.4,0.2,0.04,0.2,0.4,0.4,0.4,1.0,False
10614,15910,Equilateral Triangle is Equiangular,Let $\triangle ABC$ be an [[Definition:Equilateral Triangle|equilateral triangle]].Then $\triangle ABC$ is also [[Definition:Equiangular Polygon|equiangular]].,"['Definition:Triangle (Geometry)/Equilateral', 'Definition:Polygon/Equiangular']","[24099, 24080]","[27278, 20912, 30375]","[27278, 20912, 30375, 27279, 29511]","[27278, 20912, 30375, 27279, 29511, 25653, 27446, 30557, 30554, 25555]","[27278, 20912, 30375, 27279, 29511, 25653, 27446, 30557, 30554, 25555, 30376, 30551, 30555, 24099, 30552, 27277, 33145, 21822, 24096, 20254, 20897, 27326, 30556, 20435, 20514, 31649, 31125, 20434, 24176, 20889, 20255, 33146, 30374, 24170, 20891, 20253, 24100, 20251, 24172, 24091, 24175, 24097, 31650, 20252, 24171, 24092, 30504, 24173, 24081, 24090]",0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.5,0.07142857142857142,False
10615,15911,Equiangular Triangle is Equilateral,Let $\triangle ABC$ be [[Definition:Equiangular Polygon|equiangular]].Then $\triangle ABC$ is an [[Definition:Equilateral Triangle|equilateral triangle]].,"['Definition:Polygon/Equiangular', 'Definition:Triangle (Geometry)/Equilateral']","[24080, 24099]","[27278, 20912, 30375]","[27278, 20912, 30375, 27279, 29511]","[27278, 20912, 30375, 27279, 29511, 25653, 27446, 30557, 30554, 25555]","[27278, 20912, 30375, 27279, 29511, 25653, 27446, 30557, 30554, 25555, 30376, 30551, 30555, 24099, 30552, 27277, 33145, 21822, 24096, 20254, 20897, 27326, 30556, 20435, 20514, 31649, 31125, 20434, 24176, 20889, 20255, 33146, 30374, 24170, 20891, 20253, 24100, 20251, 24172, 24091, 24175, 24097, 31650, 20252, 24171, 24092, 30504, 24173, 24081, 24090]",0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.5,0.07142857142857142,False
